size,time
3,652.6626
5,595.0580
7,577.4732
9,570.3523
11,572.2751
13,572.5830
15,579.7551
17,585.0827
19,592.3677
21,601.4806
23,608.7261
25,618.0419
27,626.4269
29,635.8118
31,645.8057
33,654.8057
35,664.1746
37,674.0012
39,682.7397
41,692.4608
43,701.3214
45,713.4275
47,721.7773
49,732.6946
51,742.0864
