size,prob
3,0.421875
5,0.632812
7,0.756409
9,0.834274
11,0.885374
13,0.919787
15,0.943380
17,0.959763
19,0.971252
21,0.979370
23,0.985142
25,0.989266
27,0.992224
29,0.994355
31,0.995893
33,0.997007
35,0.997815
37,0.998403
39,0.998831
41,0.999144
43,0.999372
45,0.999539
47,0.999661
49,0.999751
51,0.999817
